标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
建发中央天成高使用率，舒适环境等你享受3房4500,4500,整租,普通住宅,3室2厅1卫,141平米,朝南北,中等装修,第15层/共25层,建发中央天成,祥店,经纪人：
真实的房源和价格不是广告房源便宜出租了2室,2800,整租,普通住宅,2室1厅1卫,60平米,朝南北,中等装修,第11层/共25层,建发中央天成,祥店,经纪人：
新房出租，楼王位置，看房有锁186平只要5千一月,5000,整租,普通住宅,4室2厅2卫,186平米,朝南北,中等装修,第10层/共26层,建发中央天成,祥店,经纪人：
建发中央天成高使用率，舒适环境等你享受3房4500,4500,整租,普通住宅,3室2厅1卫,141平米,朝南北,中等装修,第15层/共25层,建发中央天成,祥店,经纪人：
真实的房源和价格不是广告房源便宜出租了2室,2800,整租,普通住宅,2室1厅1卫,60平米,朝南北,中等装修,第11层/共25层,建发中央天成,祥店,经纪人：
江头台湾街吕厝地铁口租赁专盘科瑞大厦精装1房拎包入住,1700,整租,普通住宅,1室1厅1卫,40平米,朝南北,中等装修,第13层/共16层,科瑞大厦,江头北路,经纪人：
吕厝江头台湾街华永天地旁中环花园1房一厅拎包入住,1800,整租,普通住宅,1室1厅1卫,50平米,朝南北,精装修,第13层/共17层,中环花园,江头北路,经纪人：
青友品牌公寓出租力拓新城小区 交通便利 家具齐全 拎包入住 多套房源 价格1600-3200不等,2600,整租,公寓,2室1厅1卫,46平米,第9层/共13层,,,l力拓新城,万达广场,品牌公寓：
青友品牌公寓出租免中介 BRT双十站力拓新城小区 两房一厅精装配套齐全风格多样公寓（赠送物业宽带  拎包入住 交通便利）,2599,整租,公寓,2室1厅1卫,42平米,第11层/共13层,,,力拓新城,机场附近,品牌公寓：
湖里高新技术园 43m²,2600,整租,公寓,2室1厅1卫,43平米,第8层/共13层,,,宏益华府,高新技术园,品牌公寓：
南北通透全新家具全新装修,1438,整租,公寓,1室1厅1卫,28平米,第3层/共14层,,,UONE天地,高新技术园,品牌公寓：
直租免中介，湖里高新技术园力拓大厦,1600,整租,公寓,1室0厅1卫,22平米,第8层/共13层,,,力拓大厦,机场附近,品牌公寓：
江头台湾街小区带电梯全新精装修领包入住被套齐全急租,1650,整租,普通住宅,1室0厅1卫,40平米,朝南北,精装修,第11层/共17层,嘉盛花园江头,台湾街,经纪人：
枋湖片区中等装修3室领包入朝南北环境优美，欢迎你的入住,4500,整租,普通住宅,3室2厅2卫,98平米,朝南北,中等装修,第15层/共15层,大洋雅苑,枋湖,经纪人：
急租世茂湖滨首府好房型中等装修即租即入住四房精装,6800,整租,普通住宅,4室2厅2卫,163平米,朝南北,中等装修,第10层/共39层,世茂湖滨首府,湖边水库片,经纪人：
绝对真实的房源和价格不是广告房源便宜出租了2室,5500,整租,普通住宅,2室2厅1卫,106平米,朝南北,中等装修,第31层/共32层,世茂湖滨首府,湖边水库片,经纪人：
世茂湖滨首府B区4室领包入住全新装修带车位出租6800,6800,整租,普通住宅,4室2厅2卫,163平米,朝南北,中等装修,第10层/共39层,世茂湖滨首府,湖边水库片,经纪人：
软件园二期  湖里万达广场蔡塘  世茂湖滨花园  高装2房,4100,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第17层/共28层,世茂湖滨首府,湖边水库片,经纪人：
万科湖边水库世茂湖滨首府高装3房2厅6500/月,6500,整租,普通住宅,3室2厅2卫,155平米,朝南北,精装修,第14层/共30层,世茂湖滨首府,湖边水库片,经纪人：
吕厝S.M江头豪峰大厦客厅大2两房温馨装修房东急租,3200,整租,普通住宅,2室2厅1卫,80平米,朝南北,中等装修,第9层/共22层,豪峰大厦,吕厝,经纪人：
楼中楼S，M莲花公园嘉禾路吕厝拎包入住，诚意出租,3000,整租,普通住宅,1室1厅1卫,60平米,朝南北,中等装修,第6层/共30层,福隆国际,江头北路,经纪人：
万达单身公寓、空房1500起租资源不多、拎包入住2000起租,2300,整租,公寓,1室0厅1卫,41平米,朝北,精装修,第25层/共32层,湖里万达广场,湖边水库片,经纪人：
中央天成正规3+1房出租家电齐全只租4800全明户型,4800,整租,普通住宅,3室2厅2卫,119平米,朝南,精装修,第18层/共25层,建发中央天成,祥店,经纪人：
SM附近裕兴大厦正规单生公寓40平家具家电齐全诚意出租,1800,整租,普通住宅,1室1厅1卫,41平米,朝南北,中等装修,第8层/共20层,裕兴大厦,江头北路,经纪人：
SM附近裕兴大厦全新精装修家具家电齐全看房有钥匙,2300,整租,普通住宅,1室1厅1卫,41平米,朝南北,中等装修,第23层/共25层,裕兴大厦,江头北路,经纪人：
SM吕厝裕兴大厦精装修空间超大设施齐全随时看房,2100,整租,普通住宅,1室1厅1卫,46平米,朝南北,中等装修,第18层/共20层,裕兴大厦,江头北路,经纪人：
SM裕兴大厦新装修正规单身公寓阳光明媚看房有钥匙,2100,整租,普通住宅,1室1厅1卫,46平米,朝南北,中等装修,第18层/共20层,裕兴大厦,江头北路,经纪人：
BRT：大唐yoho单身公寓周边配套成熟看房方便,2200,整租,普通住宅,1室1厅1卫,36平米,朝北,中等装修,第13层/共33层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾建发湾区SOHOB栋住家精装拎包入住出行方便,4400,整租,普通住宅,2室2厅2卫,67平米,朝南,精装修,第13层/共28层,建发湾区SOHO,五缘湾,经纪人：
五缘实验二小旁：特房五缘尊府正规两房拎包入住购物方便,4800,整租,普通住宅,2室1厅1卫,103平米,朝南北,精装修,第5层/共20层,特房五缘尊府,五缘湾,经纪人：
临近BRT：凯越新城，精致两房，拎包入住，看房有锁，带阳台,3100,整租,普通住宅,2室2厅1卫,50平米,朝东西,精装修,第9层/共19层,凯悦新城,枋湖,经纪人：
UONE天地|精装单间|近BRT|居住证开发票,1488,合租,公寓,3室1厅3卫,30平米,第12层/共14层,,,UONE天地,县后,品牌公寓：
高新园BRT旁·泊寓【洋气LOFT】,1635,整租,公寓,1室1厅1卫,28平米,第2层/共8层,,,高新技术园,高新技术园,品牌公寓：
个人免中介湖里高新技术园宏益华府,1900,整租,公寓,1室1厅1卫,35平米,第13层/共13层,,,宏益华府,高新技术园,品牌公寓：
智能门锁家电齐全拎包入住,1338,整租,公寓,1室1厅1卫,20平米,第5层/共14层,,,UONE天地,高新技术园,品牌公寓：
泊寓高新店【限量特价LOFT大床房】,1250,整租,公寓,1室1厅1卫,20平米,第7层/共8层,,,泊寓高新店【限量特价精装LOFT大床房】,高新技术园,品牌公寓：
大唐五缘YOHO精装公寓商住两用周边配套齐全,2900,整租,普通住宅,1室1厅1卫,47平米,朝南,精装修,第12层/共24层,大唐五缘YOHO,五缘湾,经纪人：
绝对真实的房源 和价格 不是广告房源 便宜出租了 3房,3500,整租,普通住宅,3室2厅1卫,85平米,朝南北,精装修,第5层/共12层,金枋世家,,经纪人：
中央美地，枋湖花园，凯越新城 标准大2房,3000,整租,普通住宅,2室2厅2卫,85平米,朝南,精装修,第10层/共12层,枋湖花园,金湖路,经纪人：
湾区少有户型拎包入住温馨家庭,6000,整租,普通住宅,3室1厅1卫,103平米,朝南北,中等装修,第18层/共28层,中央湾区,五缘湾,经纪人：
抢租湾区4室好房型它就是经典,8000,整租,普通住宅,4室2厅2卫,143平米,朝南北,中等装修,第12层/共28层,中央湾区,五缘湾,经纪人：
万达SOHO正规公寓高层视野无敌大飘窗家具网络齐全水晶国际,2400,整租,普通住宅,1室1厅1卫,48平米,朝南,精装修,第23层/共31层,湖里万达广场,湖边水库片,经纪人：
抢租世茂单间看过之后让你流连忘返这就是你的选择,1800,整租,普通住宅,1室0厅1卫,120平米,朝南北,中等装修,第15层/共32层,世茂湖滨首府,湖边水库片,经纪人：
五缘湾宝墅湾精装3房装修新采光好带阳台太好了,6000,整租,普通住宅,3室2厅1卫,110平米,朝南北,精装修,第7层/共16层,源昌宝墅湾,五缘湾,经纪人：
S.M江头吕厝东方巴黎广场2房2厅干净居家,4800,整租,普通住宅,2室2厅2卫,110平米,朝南,精装修,第8层/共9层,东方巴黎广场,江头,经纪人：
世茂湖滨花园，软件园对面，精装修，南北通透,7000,整租,普通住宅,5室2厅3卫,127平米,朝南北,中等装修,第10层/共29层,世茂湖滨首府B区,湖边水库片,经纪人：
两房两卫看海邮轮城一期居家装直接入住东南北三面采,5800,整租,普通住宅,2室2厅2卫,125平米,朝西南,豪华装修,第4层/共30层,国际邮轮城一期,东渡,经纪人：
干净简单邮轮城二期两房实在价拎包入住东渡路湖里区,5700,整租,普通住宅,2室1厅1卫,101平米,朝南,精装修,第18层/共25层,国际邮轮城二期,东渡,经纪人：
祥店片区建发中央天成精装修家具齐全看房随时可以,3500,整租,普通住宅,3室2厅1卫,70平米,朝南北,精装修,第19层/共25层,建发中央天成,祥店,经纪人：
祥店片区正规三房3400南北通透图片真实有效精装,3400,整租,普通住宅,3室2厅2卫,100平米,朝南,中等装修,第7层/共8层,银龙公寓,祥店,经纪人：
万达单身公寓近软件园，全套欧式家具新装修，豪装3000元,3000,整租,普通住宅,1室1厅1卫,44平米,朝南,中等装修,第20层/共31层,万达广场,湖边水库片,经纪人：
祥店 中 央天成 精装全套6200出租 空房5200 新小区,6000,整租,普通住宅,3室2厅2卫,107平米,朝南北,中等装修,第17层/共26层,建发中央天成,祥店,经纪人：
联发新天地祥店实验二小双大阳台三房大入户全套7500元,7500,整租,普通住宅,3室2厅2卫,199平米,朝南北,中等装修,第10层/共25层,联发新天地,祥店,经纪人：
2600租两房福满园中医院实验二小旁大厨房阳台祥店,2600,整租,普通住宅,2室1厅1卫,82平米,朝南北,中等装修,第1层/共10层,金尚风景（福满园）,祥店,经纪人：
祥店实验二小国贸阳光带入户200平南北精装5房,11500,整租,普通住宅,5室2厅2卫,168平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
乐购旁书香佳缘三房二厅仅4500,4500,整租,公寓,3室2厅2卫,135平米,第5层/共11层,,,书香佳缘,枋湖,品牌公寓：
青友品牌公寓出租免中介 BRT双十站力拓新城小区精装配套齐全风格多样公寓（赠送物业宽带 拎包入住 交通便利）,1599,整租,公寓,1室1厅1卫,22平米,第6层/共13层,,,力拓新城,高新技术园,品牌公寓：
青友品牌公寓免中介费 BRT县后站 湖里高新技术园宏益华府,1450,整租,公寓,1室0厅1卫,20平米,第5层/共13层,,,宏益华府,高新技术园,品牌公寓：
青友公寓直租免中介费 宏益华府小区精装公寓 设施配备齐全 包物业宽带 拎包入住,2600,整租,公寓,2室1厅1卫,50平米,第6层/共13层,,,宏益华府,高新技术园,品牌公寓：
UONE天地标准住宅公寓,1538,整租,公寓,1室1厅1卫,28平米,第6层/共14层,,,UONE天地,县后,品牌公寓：
软件园二期万达广场精装楼中楼四房办公居住两用,6400,整租,普通住宅,1室0厅0卫,111平米,朝南北,中等装修,第14层/共28层,万科中心云玺,万达广场,经纪人：
精装三房万达广场观音山旁高品质社区软件园二期,7000,整租,普通住宅,4室2厅2卫,145平米,朝南北,精装修,第11层/共11层,宝龙御湖官邸,湖边水库片,经纪人：
车位出租，万科，云玺大车位，好位置，只要450,450,整租,普通住宅,1室0厅1卫,30平米,朝南北,中等装修,第1层/共2层,万科中心,万达广场,经纪人：
联发新天地，国贸阳光，业主全新精装修，全明格局，只要4500,4500,整租,普通住宅,3室2厅1卫,90平米,朝南北,中等装修,第6层/共12层,联发新天地,祥店,经纪人：
祥店，中医院，天成，欧式豪装，单身公寓，包物业1800起,1800,整租,普通住宅,1室0厅1卫,35平米,朝南北,中等装修,第20层/共26层,建发中央天成,祥店,经纪人：
祥店，国贸阳光中医院后家电齐全2房1厅租2300,2300,整租,普通住宅,2室1厅1卫,46平米,朝北,中等装修,第10层/共20层,国贸阳光一期,祥店,经纪人：
万达SOHO一室一厅配套齐全拎包入住通行便利软件园周边,2100,整租,公寓,1室1厅1卫,44平米,朝南,中等装修,第20层/共31层,万达SOHO公寓,万达广场,经纪人：
特房山水尚座单间家具家电齐全900元起租到2500元,1000,整租,普通住宅,1室0厅1卫,20平米,朝南,精装修,第4层/共32层,特房山水尚座,湖边水库片,经纪人：
湖里万达广场SOHO公寓出租带全套家具家电通风好仅租2000,2000,整租,公寓,1室0厅1卫,42平米,朝北,简单装修,第4层/共31层,湖里万达广场,湖边水库片,经纪人：
软件园观音山旁万达公寓出租有钥匙朝南拎包入住,2300,整租,公寓,1室0厅1卫,42平米,朝北,精装修,第16层/共31层,万达SOHO公寓,湖边水库片,经纪人：
吕厝北站旁正规2房东方巴黎广场户型很好小区安全可靠sm附近,3900,整租,普通住宅,2室1厅1卫,85平米,朝南北,中等装修,第15层/共20层,东方巴黎广场,江头北路,经纪人：
台湾街亿星大厦正规1房1厅可做2房家电齐全有厨房有阳台,2500,整租,普通住宅,1室1厅1卫,60平米,朝南北,精装修,第6层/共19层,亿星大厦,江头,经纪人：
好房出租3房只要3500独立2卫有厨房可做饭采光很好,3500,整租,普通住宅,3室2厅2卫,95平米,朝南北,精装修,第6层/共19层,亿星大厦,江头北路,经纪人：
万达公寓出租带办公家具国贸金融生活配套丰富,2000,整租,普通住宅,1室0厅1卫,44平米,朝南,精装修,第22层/共31层,湖里万达广场,湖边水库片,经纪人：
大千世界，千里难寻，遇到您是我的缘分^_^,2300,整租,普通住宅,1室0厅1卫,42平米,朝南北,中等装修,第10层/共30层,万达广场,湖边水库片,经纪人：
湖里万达广场中等装修1室出租闲置办公室,1800,整租,普通住宅,1室0厅1卫,43平米,朝北,中等装修,第15层/共31层,湖里万达广场,湖边水库片,经纪人：
万达SOHO公寓中等装修1室，采光好，风景好，办公心情好！,1900,整租,普通住宅,1室0厅1卫,44平米,朝南北,中等装修,第10层/共20层,万达SOHO公寓,湖边水库片,经纪人：
软件园旁，万达附近，高林居住区正规3房，中装，电梯，价格低,3400,整租,普通住宅,3室2厅1卫,76平米,朝南,中等装修,第11层/共22层,高林居住区二期,万达广场,经纪人：
软件万达广场特房山水杰座精装修包宽带物业随时看房1400,1400,整租,普通住宅,1室0厅1卫,25平米,朝南,中等装修,第25层/共41层,特房山水杰座,湖边水库片,经纪人：
